Xt-4,Xt-3,Xt-2,Xt-1,Xt-0,Data Prediksi
160729900,240023000,185763100,95058800,103964600,106208500
240023000,185763100,95058800,103964600,106208500,127600700
185763100,95058800,103964600,106208500,127600700,66083900
95058800,103964600,106208500,127600700,66083900,152306100
103964600,106208500,127600700,66083900,152306100,178535800
106208500,127600700,66083900,152306100,178535800,228536100
127600700,66083900,152306100,178535800,228536100,239939100
66083900,152306100,178535800,228536100,239939100,154659500
152306100,178535800,228536100,239939100,154659500,246853600
178535800,228536100,239939100,154659500,246853600,180648400
228536100,239939100,154659500,246853600,180648400,125309100
239939100,154659500,246853600,180648400,125309100,172127500
154659500,246853600,180648400,125309100,172127500,112914000
246853600,180648400,125309100,172127500,112914000,80867700
180648400,125309100,172127500,112914000,80867700,56085200
125309100,172127500,112914000,80867700,56085200,165745200
172127500,112914000,80867700,56085200,165745200,188729700
112914000,80867700,56085200,165745200,188729700,91362800
80867700,56085200,165745200,188729700,91362800,135284500
56085200,165745200,188729700,91362800,135284500,122905900
165745200,188729700,91362800,135284500,122905900,220223600
188729700,91362800,135284500,122905900,220223600,130405400
91362800,135284500,122905900,220223600,130405400,86561100
135284500,122905900,220223600,130405400,86561100,60952800
122905900,220223600,130405400,86561100,60952800,97709800
220223600,130405400,86561100,60952800,97709800,88570800
130405400,86561100,60952800,97709800,88570800,136421400
86561100,60952800,97709800,88570800,136421400,228669400
60952800,97709800,88570800,136421400,228669400,200791700
97709800,88570800,136421400,228669400,200791700,173931000
88570800,136421400,228669400,200791700,173931000,103412300
136421400,228669400,200791700,173931000,103412300,120175700
228669400,200791700,173931000,103412300,120175700,168879400
200791700,173931000,103412300,120175700,168879400,107242600
173931000,103412300,120175700,168879400,107242600,181747100
103412300,120175700,168879400,107242600,181747100,205341100
120175700,168879400,107242600,181747100,205341100,193329000
168879400,107242600,181747100,205341100,193329000,103916700
107242600,181747100,205341100,193329000,103916700,135099400
181747100,205341100,193329000,103916700,135099400,205432400
205341100,193329000,103916700,135099400,205432400,138795300
193329000,103916700,135099400,205432400,138795300,84552100
103916700,135099400,205432400,138795300,84552100,121124400
135099400,205432400,138795300,84552100,121124400,107799500
205432400,138795300,84552100,121124400,107799500,75055900
138795300,84552100,121124400,107799500,75055900,117653800
84552100,121124400,107799500,75055900,117653800,87375200
121124400,107799500,75055900,117653800,87375200,88409800
107799500,75055900,117653800,87375200,88409800,157219500
75055900,117653800,87375200,88409800,157219500,191475700
117653800,87375200,88409800,157219500,191475700,139929300
87375200,88409800,157219500,191475700,139929300,220616600
88409800,157219500,191475700,139929300,220616600,261126600
157219500,191475700,139929300,220616600,261126600,188042700
191475700,139929300,220616600,261126600,188042700,231936700
139929300,220616600,261126600,188042700,231936700,250373200
220616600,261126600,188042700,231936700,250373200,119286700
261126600,188042700,231936700,250373200,119286700,97988000
188042700,231936700,250373200,119286700,97988000,141828800
231936700,250373200,119286700,97988000,141828800,149960600
250373200,119286700,97988000,141828800,149960600,295664100
119286700,97988000,141828800,149960600,295664100,282492200
97988000,141828800,149960600,295664100,282492200,134432000
141828800,149960600,295664100,282492200,134432000,138695500
149960600,295664100,282492200,134432000,138695500,159976900
295664100,282492200,134432000,138695500,159976900,100425300
282492200,134432000,138695500,159976900,100425300,139074000
134432000,138695500,159976900,100425300,139074000,280747500
138695500,159976900,100425300,139074000,280747500,213704600
159976900,100425300,139074000,280747500,213704600,161815300
100425300,139074000,280747500,213704600,161815300,169368600
139074000,280747500,213704600,161815300,169368600,224229200
280747500,213704600,161815300,169368600,224229200,159559600
213704600,161815300,169368600,224229200,159559600,256367100
161815300,169368600,224229200,159559600,256367100,182246200
169368600,224229200,159559600,256367100,182246200,123346200
224229200,159559600,256367100,182246200,123346200,133678600
159559600,256367100,182246200,123346200,133678600,193923600
256367100,182246200,123346200,133678600,193923600,133742200
182246200,123346200,133678600,193923600,133742200,128741800
123346200,133678600,193923600,133742200,128741800,104269900
133678600,193923600,133742200,128741800,104269900,180841100
193923600,133742200,128741800,104269900,180841100,145506000
133742200,128741800,104269900,180841100,145506000,161444100
128741800,104269900,180841100,145506000,161444100,81682300
104269900,180841100,145506000,161444100,81682300,149521700
180841100,145506000,161444100,81682300,149521700,165052200
145506000,161444100,81682300,149521700,165052200,186997700
161444100,81682300,149521700,165052200,186997700,233948800
